Model,MAE,RMSE,R2
Linear Regression,4.230631934563993,5.200699221894778,0.8249732543319355
Random Forest,6.5172626607802,8.408238675630175,0.5425000983028313
Gradient Boosting,6.981276541309403,8.825623855546613,0.4959521447904931
